PDB	CHAIN	SP_PRIMARY	PFAM_ID	COVERAGE
2y8o	A	Q16539	PF00069	1
2y9q	A	P28482	PF00069	1
2ya9	A	Q8VDF3	PF00069	1
2ya9	B	Q8VDF3	PF00069	1
2yaa	A	Q8VDF3	PF00069	1
2yaa	B	Q8VDF3	PF00069	1
2yab	A	Q8VDF3	PF00069	1
2yab	B	Q8VDF3	PF00069	1
2yac	A	P53350	PF00069	1
2yak	A	P53355	PF00069	1
2ycf	A	O96017	PF00069	1
2ycq	A	O96017	PF00069	1
2ycr	A	O96017	PF00069	1
2ycs	A	O96017	PF00069	1
2ydi	A	O14757	PF00069	1
2ydj	A	O14757	PF00069	1
2ydj	B	O14757	PF00069	1
2ydk	A	O14757	PF00069	1
2yer	A	O14757	PF00069	1
2yex	A	O14757	PF00069	1
2yfx	A	Q9UM73	PF07714	1
2yhv	A	Q9UM73	PF07714	1
2yiq	A	O96017	PF00069	1
2yir	A	O96017	PF00069	1
2yis	A	Q16539	PF00069	1
2yit	A	O96017	PF00069	1
2yiw	A	Q16539	PF00069	1
2yix	A	Q16539	PF00069	1
2yiy	A	O43318	PF07714	1
2yjr	A	Q9UM73	PF07714	1
2yjs	A	Q9UM73	PF07714	1
2ym3	A	O14757	PF00069	1
2ym4	A	O14757	PF00069	1
2ym5	A	O14757	PF00069	1
2ym6	A	O14757	PF00069	1
2ym7	A	O14757	PF00069	1
2ym8	A	O14757	PF00069	1
2yn8	A	P54760	PF07714	1
2yn8	B	P54760	PF07714	1
2ywp	A	O14757	PF00069	1
2yza	A	P54646	PF00069	1
2z2w	A	P30291	PF00069	1
2z60	A	P00520	PF07714	1
2z7l	A	P63086	PF00069	1
2z7q	A	Q15418	PF00069	1
2z7r	A	Q15418	PF00069	1
2z7s	A	Q15418	PF00069	1
2z8c	A	P06213	PF07714	1
2zaz	A	Q16539	PF00069	1
2zb0	A	Q16539	PF00069	1
2zb1	A	Q16539	PF00069	1
2zdt	A	P53779	PF00069	1
2zdu	A	P53779	PF00069	1
2zjw	A	P68400	PF00069	1
2zm1	A	P06239	PF07714	1
2zm3	A	P08069	PF07714	1
2zm3	B	P08069	PF07714	1
2zm3	C	P08069	PF07714	1
2zm3	D	P08069	PF07714	1
2zm4	A	P06239	PF07714	1
2zmc	A	P33981	PF00069	1
2zmd	A	P33981	PF00069	1
2zoq	A	P27361	PF00069	1
2zoq	B	P27361	PF00069	1
2zv2	A	Q96RR4	PF00069	1
2zv7	A	P25911	PF07714	1
2zv8	A	P25911	PF07714	1
2zv9	A	P25911	PF07714	1
2zva	A	P25911	PF07714	1
2zyb	A	P06239	PF07714	1
30ff	0	P19447	PF04851	1
30ff	0	P19447	PF13625	1
30ff	0	P19447	PF16203	1
30ff	1	P18074	PF06733	1
30ff	1	P18074	PF13307	1
30ff	1	P18074	PF06777	1
30ff	2	P32780	PF08567	1
30ff	2	P32780	PF03909	1
30ff	3	Q92759	PF03849	1
30ff	3	Q92759	PF18307	1
30ff	4	Q13888	PF07975	1
30ff	4	Q13888	PF04056	1
30ff	5	Q13889	PF03850	1
30ff	6	Q6ZYL4	PF06331	1
30ff	7	P51948	PF17121	1
30ff	7	P51948	PF06391	1
30ff	7	P51948	PF25811	1
30ff	8	P50613	PF00069	1
30ff	9	P51946	PF16899	1
30ff	9	P51946	PF00134	1
30ff	B	I3LGP4	PF04566	1
30ff	B	I3LGP4	PF04563	1
30ff	B	I3LGP4	PF00562	1
30ff	B	I3LGP4	PF04565	1
30ff	B	I3LGP4	PF04561	1
30ff	B	I3LGP4	PF04560	1
30ff	B	I3LGP4	PF04567	1
30ff	C	I3LCH3	PF01000	1
30ff	C	I3LCH3	PF01193	1
30ff	D	A0A287ADR4	PF03874	1
30ff	DA	P21675	PF12157	1
30ff	DA	P21675	PF15288	1
30ff	DA	P21675	PF00439	1
30ff	DA	P21675	PF09247	1
30ff	DB	Q6P1X5	PF25577	1
30ff	DB	Q6P1X5	PF25316	1
30ff	DD	O00268	PF07531	1
30ff	DD	O00268	PF05236	1
30ff	DE	Q8C092	PF04494	1
30ff	DE	Q8C092	PF00400	1
30ff	DF	P49848	PF07571	1
30ff	DF	P49848	PF02969	1
30ff	DG	Q4R5A5	PF04658	1
30ff	DH	Q7Z7C8	PF10406	1
30ff	DH	Q7Z7C8	PF07524	1
30ff	DI	Q17QQ4	PF02291	1
30ff	DJ	Q12962	PF03540	1
30ff	DL	Q16514	PF03847	1
30ff	Dd	O00268	PF07531	1
30ff	Dd	O00268	PF05236	1
30ff	De	Q8C092	PF04494	1
30ff	De	Q8C092	PF00400	1
30ff	Df	P49848	PF02969	1
30ff	Df	P49848	PF07571	1
30ff	Di	Q17QQ4	PF02291	1
30ff	Dj	Q12962	PF03540	1
30ff	Dk	Q15544	PF04719	1
30ff	Dl	Q16514	PF03847	1
30ff	Dm	Q148M7	PF02269	1
30ff	F	A0A4X1VEK9	PF01192	1
30ff	H	I3LCB2	PF03870	1
30ff	I	P60899	PF02150	1
30ff	I	P60899	PF01096	1
30ff	J	A0A8W4F9W9	PF01194	1
30ff	M	Q00403	PF00382	1
30ff	M	Q00403	PF08271	1
30ff	O	P20226	PF00352	1
30ff	Q	P35269	PF05793	1
30ff	R	P13984	PF17683	1
30ff	R	P13984	PF02270	1
30ff	U	P52655	PF03153	1
30ff	V	P52657	PF02751	1
30ff	V	P52657	PF02268	1
30ff	W	P29083	PF08271	1
30ff	W	P29083	PF11521	1
30ff	W	P29083	PF02002	1
30ff	X	P29084	PF02186	1
30ff	X	P29084	PF18121	1
30ff	a	P84233	PF00125	1
30ff	b	P62799	PF15511	1
30ff	c	P06897	PF00125	1
30ff	c	P06897	PF16211	1
30ff	d	P02281	PF00125	1
30ff	e	P84233	PF00125	1
30ff	f	P62799	PF15511	1
30ff	g	P06897	PF16211	1
30ff	g	P06897	PF00125	1
30ff	h	P02281	PF00125	1
30ix	A	P78368	PF00069	1
30ix	B	P78368	PF00069	1
30ix	C	P78368	PF00069	1
30ix	D	P78368	PF00069	1
31ho	A	Q5TCY1	PF00069	1
31hp	A	Q6IQ55	PF00069	1
31ru	A	P11309	PF00069	1
31wa	A	Q92918	PF00069	1
31wb	A	Q92918	PF00069	1
31wc	A	Q92918	PF00069	1
31zn	A	Q9UHR5	PF07818	1
31zn	B	P21127	PF00069	1
31zn	C	Q96S94	PF21797	1
31zn	C	Q96S94	PF00134	1
32aw	A	A0A096P1Z7	PF00069	1
32aw	B	O75909	PF21797	1
32aw	B	O75909	PF00134	1
32aw	C	A0A096P1Z7	PF00069	1
32aw	D	O75909	PF21797	1
32aw	D	O75909	PF00134	1
32aw	E	A0A096P1Z7	PF00069	1
32aw	F	O75909	PF00134	1
32aw	F	O75909	PF21797	1
35wf	A	O14757	PF00069	1
35wg	A	O14757	PF00069	1
36jc	A	A0A1D8PKB4	PF00069	1
36jd	A	A0A1D8PKB4	PF00069	1
36je	A	A0A1D8PKB4	PF00069	1
36jf	A	A0A1D8PKB4	PF00069	1
36jg	A	A0A1D8PKB4	PF00069	1
3a2c	A	P49137	PF00069	1
3a2c	B	P49137	PF00069	1
3a2c	C	P49137	PF00069	1
3a2c	D	P49137	PF00069	1
3a2c	E	P49137	PF00069	1
3a2c	F	P49137	PF00069	1
3a2c	G	P49137	PF00069	1
3a2c	H	P49137	PF00069	1
3a2c	I	P49137	PF00069	1
3a2c	J	P49137	PF00069	1
3a2c	K	P49137	PF00069	1
3a2c	L	P49137	PF00069	1
3a4o	X	P07948	PF07714	1
3a4p	A	P08581	PF07714	1
3a60	A	P23443	PF00069	1
3a60	A	P23443	PF00433	0.659
3a60	B	P23443	PF00069	1
3a60	B	P23443	PF00433	0.659
3a61	A	P23443	PF00069	1
3a61	A	P23443	PF00433	0.659
3a62	A	P23443	PF00433	0.659
3a62	A	P23443	PF00069	1
3a7f	A	Q9Y6E0	PF00069	1
3a7g	A	Q9Y6E0	PF00069	1
3a7g	B	Q9Y6E0	PF00069	1
3a7h	A	Q9Y6E0	PF00069	1
3a7h	B	Q9Y6E0	PF00069	1
3a7i	A	Q9Y6E0	PF00069	1
3a7j	A	Q9Y6E0	PF00069	1
3a8w	A	P41743	PF00433	1
3a8w	A	P41743	PF00069	1
3a8w	B	P41743	PF00069	1
3a8w	B	P41743	PF00433	1
3a8x	A	P41743	PF00433	1
3a8x	A	P41743	PF00069	1
3a8x	B	P41743	PF00069	1
3a8x	B	P41743	PF00433	1
3a99	A	P11309	PF00069	1
3ac1	A	P06239	PF07714	1
3ac2	A	P06239	PF07714	1
3ac3	A	P06239	PF07714	1
3ac4	A	P06239	PF07714	1
3ac5	A	P06239	PF07714	1
3ac8	A	P06239	PF07714	1
3acj	A	P06239	PF07714	1
3ack	A	P06239	PF07714	1
3ad4	A	P06239	PF07714	1
3ad5	A	P06239	PF07714	1
3ad6	A	P06239	PF07714	1
3ag9	A	P00517	PF00069	1
3ag9	B	P00517	PF00069	1
3agl	A	P17612	PF00069	1
3agl	B	P17612	PF00069	1
3agm	A	P17612	PF00069	1
3aln	A	P45985	PF00069	1
3aln	B	P45985	PF00069	1
3aln	C	P45985	PF00069	1
3alo	A	P45985	PF00069	1
3ama	A	P17612	PF00069	1
3amb	A	P17612	PF00069	1
3amy	A	P68400	PF00069	1
3anq	A	Q13627	PF00069	1
3anq	B	Q13627	PF00069	1
3anq	C	Q13627	PF00069	1
3anq	D	Q13627	PF00069	1
3anr	A	Q13627	PF00069	1
3anr	B	Q13627	PF00069	1
3anr	C	Q13627	PF00069	1
3anr	D	Q13627	PF00069	1
3aox	A	Q9UM73	PF07714	1
3aqv	A	P54646	PF00069	1
3at2	A	P68400	PF00069	1
3at3	A	P68400	PF00069	1
3at4	A	P68400	PF00069	1
3axw	A	P68400	PF00069	1
3b2t	A	P21802	PF07714	1
3b2t	B	P21802	PF07714	1
3b2w	A	P06239	PF07714	1
3b8q	A	P35968	PF07714	0.847
3b8q	B	P35968	PF07714	0.847
3b8r	A	P35968	PF07714	0.847
3b8r	B	P35968	PF07714	0.847
3bbt	B	Q15303	PF07714	1
3bbt	D	Q15303	PF07714	1
3bbw	A	Q15303	PF07714	1
3bbw	B	Q15303	PF07714	1
3bce	A	Q15303	PF07714	1
3bce	B	Q15303	PF07714	1
3bce	C	Q15303	PF07714	1
3be2	A	P35968	PF07714	0.847
3be9	A	P28523	PF00069	1
3bea	A	Q02763	PF07714	0.775
3bea	A	P07333	PF07714	0.775
3beg	A	Q96SB4	PF00069	1
3beg	B	Q07955	PF00076	1
3bel	A	P00533	PF07714	1
3bgp	A	P11309	PF00069	1
3bgq	A	P11309	PF00069	1
3bgz	A	P11309	PF00069	1
3bhh	A	Q13554	PF00069	1
3bhh	B	Q13554	PF00069	1
3bhh	C	Q13554	PF00069	1
3bhh	D	Q13554	PF00069	1
3bht	A	P24941	PF00069	1
3bht	B	P30274	PF00134	1
3bht	B	P30274	PF02984	1
3bht	C	P24941	PF00069	1
3bht	D	P30274	PF00134	1
3bht	D	P30274	PF02984	1
3bhu	A	P24941	PF00069	1
3bhu	B	P30274	PF02984	1
3bhu	B	P30274	PF00134	1
3bhu	C	P24941	PF00069	1
3bhu	D	P30274	PF02984	1
3bhu	D	P30274	PF00134	1
3bhv	A	P24941	PF00069	1
3bhv	B	P30274	PF00134	1
3bhv	B	P30274	PF02984	1
3bhv	C	P24941	PF00069	1
3bhv	D	P30274	PF02984	1
3bhv	D	P30274	PF00134	1
3bhy	A	O43293	PF00069	1
3bi6	A	P30291	PF00069	1
3biz	A	P30291	PF00069	1
3bkb	A	P07332	PF00017	1
3bkb	A	P07332	PF07714	1
3blh	A	P50750	PF00069	1
3blh	B	O60563	PF21797	1
3blh	B	O60563	PF00134	1
3blq	A	P50750	PF00069	1
3blq	B	O60563	PF21797	1
3blq	B	O60563	PF00134	1
3blr	A	P50750	PF00069	1
3blr	B	O60563	PF21797	1
3blr	B	O60563	PF00134	1
3bpr	A	Q12866	PF07714	1
3bpr	B	Q12866	PF07714	1
3bpr	C	Q12866	PF07714	1
3bpr	D	Q12866	PF07714	1
3bqc	A	P68400	PF00069	1
3bqr	A	O43293	PF00069	1
3brb	A	Q12866	PF07714	1
3brb	B	Q12866	PF07714	1
3bu3	A	P06213	PF07714	1
3bu5	A	P06213	PF07714	1
3bu6	A	P06213	PF07714	1
3bv2	A	Q16539	PF00069	1
3bv3	A	Q16539	PF00069	1
3bwf	A	P11309	PF00069	1
3bwj	A	P00517	PF00069	1
3bx5	A	Q16539	PF00069	1
3bym	A	P06239	PF07714	1
3byo	A	P06239	PF07714	1
3bys	A	P06239	PF07714	1
3byu	A	P06239	PF07714	1
3bz3	A	Q05397	PF07714	1
3c0g	A	O14936	PF00069	1
3c0g	B	O14936	PF00069	1
3c0h	A	O14936	PF00069	1
3c0h	B	O14936	PF00069	1
3c0i	A	O14936	PF00069	1
3c13	A	P68400	PF00069	1
3c1x	A	P08581	PF07714	1
3c4c	A	P15056	PF07714	1
3c4c	B	P15056	PF07714	1
3c4e	A	P11309	PF00069	1
3c4e	B	P11309	PF00069	1
3c4e	C	P11309	PF00069	1
3c4e	D	P11309	PF00069	1
3c4f	A	P11362	PF07714	1
3c4f	B	P11362	PF07714	1
3c4w	A	P28327	PF00069	1
3c4w	A	P28327	PF00615	1
3c4w	B	P28327	PF00615	1
3c4w	B	P28327	PF00069	1
3c4x	A	P28327	PF00615	1
3c4x	A	P28327	PF00069	1
3c4x	B	P28327	PF00615	1
3c4x	B	P28327	PF00069	1
3c4y	A	P28327	PF00615	1
3c4y	A	P28327	PF00069	1
3c4y	B	P28327	PF00069	1
3c4y	B	P28327	PF00615	1
3c4z	A	P28327	PF00069	1
3c4z	A	P28327	PF00615	1
3c50	A	P28327	PF00069	1
3c50	A	P28327	PF00615	1
3c50	B	P28327	PF00069	1
3c50	B	P28327	PF00615	1
3c51	A	P28327	PF00069	1
3c51	A	P28327	PF00615	1
3c51	B	P28327	PF00069	1
3c51	B	P28327	PF00615	1
3c5u	A	Q16539	PF00069	1
3c7q	A	P35968	PF07714	0.841
3c9w	A	P63086	PF00069	1
3c9w	B	P63086	PF00069	1
3cbl	A	P07332	PF00017	1
3cbl	A	P07332	PF07714	1
3cc6	A	Q14289	PF07714	1
3ccn	A	P08581	PF07714	1
3cd3	A	P07332	PF07714	1
3cd3	A	P07332	PF00017	1
3cd8	A	P08581	PF07714	1
3ce3	A	P08581	PF07714	1
3cek	A	P33981	PF00069	1
3cgf	A	P53779	PF00069	1
3cgo	A	P53779	PF00069	1
3cik	A	P25098	PF00169	1
3cik	A	P25098	PF00615	1
3cik	A	P25098	PF00069	1
3cik	B	P62871	PF25391	1
3cik	G	P63212	PF00631	0.955
3cjf	A	P35968	PF07714	0.835
3cjg	A	P35968	PF07714	0.835
3ckw	A	Q9Y6E0	PF00069	1
3ckx	A	Q9Y6E0	PF00069	1
3cly	A	P21802	PF07714	1
3coh	A	O14965	PF00069	1
3coh	B	O14965	PF00069	1
3coi	A	O15264	PF00069	1
3cok	A	O00444	PF00069	1
3cok	B	O00444	PF00069	1
3com	A	Q13043	PF00069	1
3com	B	Q13043	PF00069	1
3cp9	A	P35968	PF07714	0.847
3cp9	B	P35968	PF07714	0.847
3cpb	A	P35968	PF07714	0.847
3cpb	B	P35968	PF07714	0.847
3cpc	A	P35968	PF07714	0.847
3cpc	B	P35968	PF07714	0.847
3cqe	A	P30291	PF00069	1
3cqu	A	P31749	PF00069	1
3cqu	A	P31749	PF00433	1
3cqw	A	P31749	PF00069	1
3cqw	A	P31749	PF00433	1
3cr0	A	P30291	PF00069	1
3cs9	A	P00519	PF07714	1
3cs9	B	P00519	PF07714	1
3cs9	C	P00519	PF07714	1
3cs9	D	P00519	PF07714	1
3cth	A	P08581	PF07714	1
3ctj	A	P08581	PF07714	1
3ctq	A	Q16539	PF00069	1
3cxw	A	P11309	PF00069	1
3cy2	A	P11309	PF00069	1
3cy3	A	P11309	PF00069	1
3d0e	A	P31751	PF00433	1
3d0e	A	P31751	PF00069	1
3d0e	B	P31751	PF00433	1
3d0e	B	P31751	PF00069	1
3d14	A	P97477	PF00069	1
3d15	A	P97477	PF00069	1
3d2i	A	P97477	PF00069	1
3d2k	A	P97477	PF00069	1
3d4q	A	P15056	PF07714	1
3d4q	B	P15056	PF07714	1
3d5w	A	Q4KMI8	PF00069	1
3d5x	A	Q4KMI8	PF00069	1
3d7t	A	P41240	PF07714	1
3d7t	B	P00523	PF07714	1
3d7u	A	P41240	PF07714	1
3d7u	B	P00523	PF07714	1
3d7u	C	P41240	PF07714	1
3d7u	D	P00523	PF07714	1
3d7z	A	Q16539	PF00069	1
3d83	A	Q16539	PF00069	1
3d94	A	P08069	PF07714	1
3d9v	A	Q13464	PF00069	1
3d9v	B	Q13464	PF00069	1
3da6	A	P53779	PF00069	1
3dae	A	P06782	PF00069	1
3dae	B	P06782	PF00069	1
3daj	A	P97477	PF00069	1
3dak	A	O95747	PF00069	1
3dak	B	O95747	PF00069	1
3dak	C	O95747	PF00069	1
3dak	D	O95747	PF00069	1
3db6	A	Q4KMI8	PF00069	1
3db8	A	Q4KMI8	PF00069	1
3dbc	A	Q4KMI8	PF00069	1
3dbd	A	Q4KMI8	PF00069	1
3dbe	A	Q4KMI8	PF00069	1
3dbf	A	Q4KMI8	PF00069	1
3dbq	A	P33981	PF00069	1
3dcv	A	P11309	PF00069	1
3ddp	A	P24941	PF00069	1
3ddp	B	P30274	PF00134	1
3ddp	B	P30274	PF02984	1
3ddp	C	P24941	PF00069	1
3ddp	D	P30274	PF00134	1
3ddp	D	P30274	PF02984	1
3ddq	A	P24941	PF00069	1
3ddq	B	P30274	PF00134	1
3ddq	B	P30274	PF02984	1
3ddq	C	P24941	PF00069	1
3ddq	D	P30274	PF00134	1
3ddq	D	P30274	PF02984	1
3dfa	A	A3FQ16	PF00069	1
3dfc	B	P53355	PF00069	1
3dgk	A	P53355	PF00069	1
3dj5	A	P97477	PF00069	1
3dj6	A	P97477	PF00069	1
3dj7	A	P97477	PF00069	1
3dk3	A	P00520	PF07714	1
3dk3	B	P00520	PF07714	1
3dk6	A	P00520	PF07714	1
3dk6	B	P00520	PF07714	1
3dk7	A	P00520	PF07714	1
3dk7	B	P00520	PF07714	1
3dkc	A	P08581	PF07714	1
3dkf	A	P08581	PF07714	1
3dkg	A	P08581	PF07714	1
3dko	A	Q15375	PF07714	1
3dko	A	Q15375	PF14575	0.562
3dls	A	Q96RG2	PF00069	1
3dls	B	Q96RG2	PF00069	1
3dls	C	Q96RG2	PF00069	1
3dls	D	Q96RG2	PF00069	1
3dls	E	Q96RG2	PF00069	1
3dls	F	Q96RG2	PF00069	1
3dnd	A	P00517	PF00069	1
3dne	A	P00517	PF00069	1
3dog	A	P24941	PF00069	1
3dog	B	P30274	PF02984	1
3dog	B	P30274	PF00134	1
3dog	C	P24941	PF00069	1
3dog	D	P30274	PF00134	1
3dog	D	P30274	PF02984	1
3dpk	A	P07333	PF07714	0.778
3dpk	A	P11362	PF07714	0.778
3dqw	A	P00523	PF07714	1
3dqw	B	P00523	PF07714	1
3dqw	C	P00523	PF07714	1
3dqw	D	P00523	PF07714	1
3dqx	A	P00523	PF07714	1
3dqx	B	P00523	PF07714	1
3ds6	A	Q16539	PF00069	1
3ds6	B	Q16539	PF00069	1
3ds6	C	Q16539	PF00069	1
3ds6	D	Q16539	PF00069	1
3dt1	A	Q16539	PF00069	1
3dtc	A	P80192	PF00069	1
3dtw	A	P35968	PF07714	0.847
3dtw	B	P35968	PF07714	0.847
3du8	A	P49841	PF00069	1
3du8	B	P49841	PF00069	1
3dv3	A	Q02750	PF00069	1
3dxn	A	Q3HNM6	PF00069	1
3dy7	A	Q02750	PF00069	1
3dzq	A	P29320	PF07714	1
3dzq	A	P29320	PF07647	0.606
3e3b	X	P19784	PF00069	1
3e3p	A	Q4QE15	PF00069	1
3e3p	B	Q4QE15	PF00069	1
3e5a	A	O14965	PF00069	1
3e5a	B	Q9ULW0	PF09041	0.632
3e62	A	O60674	PF07714	1
3e63	A	O60674	PF07714	1
3e64	A	O60674	PF07714	1
3e7o	A	P45984	PF00069	1
3e7o	B	P45984	PF00069	1
3e87	A	P31751	PF00069	1
3e87	A	P31751	PF00433	1
3e87	B	P31751	PF00433	1
3e87	B	P31751	PF00069	1
3e88	A	P31751	PF00433	1
3e88	A	P31751	PF00069	1
3e88	B	P31751	PF00069	1
3e88	B	P31751	PF00433	1
3e8c	A	P00517	PF00069	1
3e8c	B	P00517	PF00069	1
3e8c	C	P00517	PF00069	1
3e8c	D	P00517	PF00069	1
3e8c	E	P00517	PF00069	1
3e8c	F	P00517	PF00069	1
3e8d	A	P31751	PF00069	1
3e8d	A	P31751	PF00433	1
3e8d	B	P31751	PF00433	1
3e8d	B	P31751	PF00069	1
3e8e	A	P00517	PF00069	1
3e8e	B	P00517	PF00069	1
3e8e	E	P00517	PF00069	1
3e8e	I	P00517	PF00069	1
3e8e	L	P00517	PF00069	1
3e8e	P	P00517	PF00069	1
3e8n	A	Q02750	PF00069	1
3e92	A	Q16539	PF00069	1
3e93	A	Q16539	PF00069	1
3eb0	A	A3FQN0	PF00069	1
3eb0	C	A3FQN0	PF00069	1
3efj	A	P08581	PF07714	1
3efj	B	P08581	PF07714	1
3efk	A	P08581	PF07714	1
3efk	B	P08581	PF07714	1
3efl	A	P35968	PF07714	0.847
3efl	B	P35968	PF07714	0.847
3efw	A	O14965	PF00069	1
3efw	B	O14965	PF00069	1
3eh9	A	P53355	PF00069	1
3eha	A	P53355	PF00069	1
3eid	A	P24941	PF00069	1
3eid	B	P20248	PF02984	1
3eid	B	P20248	PF00134	1
3eid	C	P24941	PF00069	1
3eid	D	P20248	PF02984	1
3eid	D	P20248	PF00134	1
3ej1	A	P24941	PF00069	1
3ej1	B	P20248	PF02984	1
3ej1	B	P20248	PF00134	1
3ej1	C	P24941	PF00069	1
3ej1	D	P20248	PF00134	1
3ej1	D	P20248	PF02984	1
3ekk	A	P06213	PF07714	1
3ekn	A	P06213	PF07714	1
3el7	A	P00523	PF07714	1
3el8	A	P00523	PF07714	1
3el8	B	P00523	PF07714	1
3elj	A	P45983	PF00069	1
3emg	A	P43405	PF07714	1
3en4	A	P00523	PF07714	1
3en4	B	P00523	PF07714	1
3en5	A	P00523	PF07714	1
3en5	B	P00523	PF07714	1
3en6	A	P00523	PF07714	1
3en6	B	P00523	PF07714	1
3en7	A	P00523	PF07714	1
3en7	B	P00523	PF07714	1
3enm	A	P52564	PF00069	1
3enm	B	P52564	PF00069	1
3enm	C	P52564	PF00069	1
3enm	D	P52564	PF00069	1
3eoc	A	P24941	PF00069	1
3eoc	B	P20248	PF02984	1
3eoc	B	P20248	PF00134	1
3eoc	C	P24941	PF00069	1
3eoc	D	P20248	PF02984	1
3eoc	D	P20248	PF00134	1
3eqb	A	Q02750	PF00069	1
3eqc	A	Q02750	PF00069	1
3eqd	A	Q02750	PF00069	1
3eqf	A	Q02750	PF00069	1
3eqg	A	Q02750	PF00069	1
3eqh	A	Q02750	PF00069	1
3eqi	A	Q02750	PF00069	1
3eqp	A	Q07912	PF07714	1
3eqp	B	Q07912	PF07714	1
3eqr	A	Q07912	PF07714	1
3eqr	B	Q07912	PF07714	1
3erk	A	P63086	PF00069	1
3et7	A	Q14289	PF07714	1
3eta	A	P06213	PF07714	1
3eta	B	P06213	PF07714	1
3ewh	A	P35968	PF07714	0.847
3eyg	A	P23458	PF07714	1
3eyh	A	P23458	PF07714	1
3ezr	A	P24941	PF00069	1
3ezv	A	P24941	PF00069	1
3f2a	A	P11309	PF00069	1
3f3t	A	P00523	PF07714	1
3f3t	B	P00523	PF07714	1
3f3u	A	P00523	PF07714	1
3f3u	B	P00523	PF07714	1
3f3v	A	P00523	PF07714	1
3f3v	B	P00523	PF07714	1
3f3w	A	P00523	PF07714	1
3f3w	B	P00523	PF07714	1
3f3z	A	Q5CYL9	PF00069	1
3f5g	A	P53355	PF00069	1
3f5p	A	P08069	PF07714	1
3f5p	B	P08069	PF07714	1
3f5p	C	P08069	PF07714	1
3f5p	D	P08069	PF07714	1
3f5p	E	P08069	PF07714	1
3f5p	F	P08069	PF07714	1
3f5p	G	P08069	PF07714	1
3f5p	H	P08069	PF07714	1
3f5p	I	P08069	PF07714	1
3f5p	J	P08069	PF07714	1
3f5p	K	P08069	PF07714	1
3f5p	L	P08069	PF07714	1
3f5p	M	P08069	PF07714	1
3f5p	R	P08069	PF07714	1
3f5p	S	P08069	PF07714	1
3f5p	T	P08069	PF07714	1
3f5u	A	P53355	PF00069	1
3f5x	A	P24941	PF00069	1
3f5x	B	P20248	PF00134	1
3f5x	B	P20248	PF02984	1
3f5x	C	P24941	PF00069	1
3f5x	D	P20248	PF00134	1
3f5x	D	P20248	PF02984	1
3f61	A	P9WI81	PF00069	1
3f66	A	P08581	PF07714	1
3f66	B	P08581	PF07714	1
3f69	A	P9WI81	PF00069	1
3f69	B	P9WI81	PF00069	1
3f6x	A	P00523	PF07714	1
3f6x	B	P00523	PF07714	1
3f6x	C	P00523	PF07714	1
3f6x	D	P00523	PF07714	1
3f7z	A	P49841	PF00069	1
3f7z	B	P49841	PF00069	1
3f82	A	P08581	PF07714	1
3f88	A	P49841	PF00069	1
3f88	B	P49841	PF00069	1
3f9n	A	O14757	PF00069	1
3faa	A	P36897	PF00069	1
3faa	A	P36897	PF08515	1
3faa	B	P36897	PF00069	1
3faa	B	P36897	PF08515	1
3faa	C	P36897	PF00069	1
3faa	C	P36897	PF08515	1
3faa	D	P36897	PF08515	1
3faa	D	P36897	PF00069	1
3faa	E	P36897	PF08515	1
3faa	E	P36897	PF00069	1
3fbv	A	P32361	PF00069	0.955
3fbv	A	P32361	PF00069	0.772
3fbv	A	P32361	PF06479	1
3fbv	B	P32361	PF00069	0.772
3fbv	B	P32361	PF00069	0.955
3fbv	B	P32361	PF06479	1
3fbv	C	P32361	PF00069	0.955
3fbv	C	P32361	PF00069	0.772
3fbv	C	P32361	PF06479	1
3fbv	D	P32361	PF06479	1
3fbv	D	P32361	PF00069	0.955
3fbv	D	P32361	PF00069	0.772
3fbv	E	P32361	PF06479	1
3fbv	E	P32361	PF00069	0.772
3fbv	E	P32361	PF00069	0.955
3fbv	F	P32361	PF00069	0.772
3fbv	F	P32361	PF00069	0.955
3fbv	F	P32361	PF06479	1
3fbv	G	P32361	PF00069	0.772
3fbv	G	P32361	PF06479	1
3fbv	G	P32361	PF00069	0.955
3fbv	H	P32361	PF06479	1
3fbv	H	P32361	PF00069	0.955
3fbv	H	P32361	PF00069	0.772
3fbv	I	P32361	PF06479	1
3fbv	I	P32361	PF00069	0.772
3fbv	I	P32361	PF00069	0.955
3fbv	J	P32361	PF00069	0.772
3fbv	J	P32361	PF00069	0.955
3fbv	J	P32361	PF06479	1
3fbv	K	P32361	PF06479	1
3fbv	K	P32361	PF00069	0.955
3fbv	K	P32361	PF00069	0.772
3fbv	L	P32361	PF00069	0.772
3fbv	L	P32361	PF00069	0.955
3fbv	L	P32361	PF06479	1
3fbv	M	P32361	PF00069	0.955
3fbv	M	P32361	PF06479	1
3fbv	M	P32361	PF00069	0.772
3fbv	N	P32361	PF00069	0.772
3fbv	N	P32361	PF00069	0.955
3fbv	N	P32361	PF06479	1
3fc1	X	Q16539	PF00069	1
3fc2	A	P53350	PF00069	1
3fdn	A	O14965	PF00069	1
3fe3	A	P27448	PF00627	1
3fe3	A	P27448	PF00069	1
3fe3	B	P27448	PF00627	1
3fe3	B	P27448	PF00069	1
3fhi	A	P05132	PF00069	1
3fhi	B	P00514	PF00027	1
3fhr	A	Q16644	PF00069	1
3fi2	A	P53779	PF00069	1
3fi3	A	P53779	PF00069	1
3fi4	A	Q16539	PF00069	1
3fjq	E	P05132	PF00069	1
